rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
17482	23221	37481	35155	38125	34443	37061	34548	36413	17361
17483	19743	37051	27892	35996	40314	41263	29797	37312	42309
17484	6898	28084	33200	27619	34929	34296	39370	25219	43496
17485	24088	33738	27253	27411	26861	26061	40654	35406	24695
17486	9284	6331	28556	18169	13121	12828	40869	14280	14410
17487	6902	27104	34019	31833	32306	33735	33674	22509	17074
17488	17707	30546	8762	31639	30470	29593	7262	24339	11379
17489	8533	35466	29877	30572	38285	37560	33893	35737	41682
17490	16713	6537	12096	7064	8833	9007	11678	4264	37561
17491	10885	15874	25693	27340	11125	14715	23316	11474	27041
17492	6895	13253	35072	37637	11238	12266	37544	5459	30994
17493	17651	5054	16319	3897	7922	8579	15106	5801	40805
17494	15877	26235	9691	42698	19990	20505	7929	17259	3422
17495	9954	13549	25062	17278	10950	12383	24808	14929	36754
17496	13723	11066	32784	25308	4233	4231	43343	20908	23585
17497	20702	35139	14509	33719	28809	27982	14630	36022	28656
17498	10327	23140	30060	15124	23113	23468	26597	30880	18514
17499	8577	23061	33391	28615	29385	29196	42086	17727	33352
17500	19206	4613	20811	5964	6545	7446	20218	5117	17206
17501	8578	31935	34436	34074	32972	33017	35593	30295	18159
17502	21572	18296	12755	19305	16511	16557	12888	16332	10611
17503	13442	10031	13957	17102	7700	7478	12459	8835	13264
17504	17315	38688	35491	39899	39237	39306	40025	37643	28260
17505	6885	32568	36295	45050	36266	35898	32482	25323	31231
